sexo,rango_edad,zona_residencia,vereda_barrio,actividad_economica,maximo_grado_escolaridad,problema_tocaima,color_favorito,color_relacion,descripcion,fortaleza,debilidad,recomendaciones,precandidatos,vota
Hombre,18-25,Urbano,Consolata,Independiente,Primaria,Inseguridad,rojo,,Alcaldesa,,no conoce,seguridad,Julian Mora,Stephany Murillo
Mujer,26-35,Urbano,San Fernando,Empleado,Universitario,Falta de empleo,azul,Honestidad,Emprendedora,Perseverancia,Falta de reconocimiento en el municipio,Colocar todos los proyectos en manos de Dios,No,Stephany Murillo
Hombre,46-55,Urbano,San Fernando,Empleado,Tecnologo,Todas,verde,Esperanza,Mujer,Su familia,Inocencia politica,Oracion,,Blanco
Hombre,26-35,Urbano,Santa Lucia,Independiente (Ingeniero),Posgrado,"Tecnificacion del campo, Falta de empleo",blanco,"Honestidad, Transparencia","Berraca, lider",Union familiar,La politiqueria,Trabajar dia a dia sin desfallecer por su objetivo,"Robinson: prepotente, Julian: Falta de liderazgo",Stephany Murillo
Mujer,65+,Urbano,Centro,Hogar,Universitario,Falta de empleo,verde,Esperanza,,Honesta,,"Mucha inteligencia, trabajo",,Stephany Murillo
Mujer,36-45,Urbano,Danubio,Empleado,Tecnico,"Inseguridad, Falta de empleo, Calidad en la educacion",azul,Pureza,"Sencilla, Humilde",El empuje de querer ayudar al pueblo,Por el momento no se nota la debilidad porque se siente segura de si misma,Mejorar la calidad de vida,"Robinson: preopotente, crecido, Stephany: Es una mujer que nos va a representar bien el pueblo","Stephany Murillo, Robinson Mora"
Mujer,26-35,Rural,,Empleado,Universitario,Todas,rosado,Respeto,Esperanza,Perseverancia,Experiencia,Que se de a conocer mas en el pueblo,No,Stephany Murillo
Hombre,36-45,Urbano,Santa Lucia,Comerciante,Secundaria,inseguridad,blanco,Paz,Honestidad,,,,No,Stephany Murillo
Hombre,26-35,Urbano,San Isidro,"Empleado, Comerciante",Tecnico,Falta de empleo,azul,Vida,Mujer emprendedora,El deporte,,Luchar contra todo obstaculo ya que lo que se lucha se logra,"Robinson Mora, Fabian Mora, Hernan Herrera",Stephany Murillo
Hombre,36-45,Urbano,San Jacinto,Maestro,Tecnico,"Inseguridad, Falta de empleo",rojo,,Una mujer con futuro,Ser mujer exitosa,Venir mas seguido al municipio,Dios la bendiga en sus proyectos,,Stephany Murillo
Mujer,36-45,Urbano,San Jacinto,Hogar,Secundaria,Inseguridad,azul,Fortaleza,Una mujer de exitos,Ser una mujer de ejemplo a seguir,Estar mas seguido en la ciudad salud,La seguridad,,Stephany Murillo
Mujer,65+,Urbano,Centro,Hogar,Primaria,Falta de empleo,rosado,Alegria,Paisana,Berraca,Cumplan adulto mayor,,,Stephany Murillo
Mujer,36-45,Urbano,San Jacinto,,Primaria,Falta de empleo,rosado,"Fuerza, Valentia",Sinceridad,La humildad,Seguridad,La seguridad del pueblo,No,Stephany Murillo
Mujer,,Urbano,Carmelo,Hogar,Primaria,"Falta de empleo, Inseguridad",fucsia,Alegria,Los dos,Que no le da pena decir las cosas,Que no se le cumplan sus sue–os,Que le den trabajo a los de Tocaima y los de otro lado,Toca escuchar la opinion de cada uno de ellos,Blanco
Hombre,56-65,Urbano,,Empleado,Secundaria,Falta de empleo,blanco,Paz,"Tocaimuna, Honesta",Ser de Tocaima,Ser sensible,Ser mas directa y fuerte,,Stephany Murillo
Hombre,18-25,Urbano,,,Secundaria,Calidad de la educacion,azul,Honestidad,Que ella es del pueblo y sabe lo que necesitamos,,,Que invierta en la cultura,,Stephany Murillo
Hombre,36-45,Urbano,Progreso,,Primaria,Falta de empleo,amarillo,Libertad,Fuerza a luchar y triunfar,Luchadora,Ninguna,,,Stephany Murillo
Mujer,36-45,Urbano,Progreso,Hogar,Primaria,Falta de empleo,rojo,Vida,Vencedora,Voluntad,Ninguna,,,Stephany Murillo
,36-45,Urbano,San Jacinto,,Secundaria,Inseguridad,negro,,La personalidad,Como habla,Ninguna,Tener en cuenta las personas con discapacidad,No,Stephany Murillo
Mujer,36-45,Urbano,San Jacinto,Hogar,Primaria,Falta de empleo,blanco,Paz,Su sencillez,Ser Tocaimuna,Ser muy sensible,Ser mas fuerte,,Stephany Murillo
