sexo,rango_edad,zona_residencia,vereda_barrio,actividad_economica,maximo_grado_escolaridad,problema_tocaima,color_favorito,color_relacion,descripcion,fortaleza,debilidad,recomendaciones,precandidatos,vota,
Hombre,18-25,Urbano,Consolata,Independiente,Primaria,Inseguridad,rojo,,Alcaldesa,,no conoce,seguridad,Julian Mora,Stephany Murillo,
Mujer,26-35,Urbano,San Fernando,Empleado,Universitario,Falta de empleo,azul,Honestidad,Emprendedora,Perseverancia,Falta de reconocimiento en el municipio,Colocar todos los proyectos en manos de Dios,No,Stephany Murillo,
Hombre,46-55,Urbano,San Fernando,Empleado,Tecn—logo,Todas,verde,Esperanza,Mujer,Su familia,Inocencia pol’tica,Oraci—n,,Blanco,* aclaraci—n de en este momento
Hombre,26-35,Urbano,Santa Luc’a,Independiente (Ingeniero),Posgrado,"Tecnificaci—n del campo, Falta de empleo",blanco,"Honestidad, Transparencia","Berraca, l’der",Uni—n familiar,La politiquer’a,Trabajar d’a a d’a sin desfallecer por su objetivo,"Robinson: prepotente, Juli‡n: Falta de liderazgo",Stephany Murillo,
Mujer,65+,Urbano,Centro,Hogar,Universitario,Falta de empleo,verde,Esperanza,,Honesta,,"Mucha inteligencia, trabajo",,Stephany Murillo,
Mujer,36-45,Urbano,Danubio,Empleado,TŽcnico,"Inseguridad, Falta de empleo, Calidad en la educaci—n",azul,Pureza,"Sencilla, Humilde",El empuje de querer ayudar al pueblo,Por el momento no se nota la debilidad porque se siente segura de s’ misma,Mejorar la calidad de vida,"Robinson: preopotente, crecido, Stephany: Es una mujer que nos va a representar bien el pueblo","Stephany Murillo, Robinson Mora",
Mujer,26-35,Rural,,Empleado,Universitario,Todas,rosado,Respeto,Esperanza,Perseverancia,Experiencia,Que se de a conocer m‡s en el pueblo,No,Stephany Murillo,
Hombre,36-45,Urbano,Santa Luc’a,Comerciante,Secundaria,inseguridad,blanco,Paz,Honestidad,,,,No,Stephany Murillo,
Hombre,26-35,Urbano,San Isidro,"Empleado, Comerciante",TŽcnico,Falta de empleo,azul,Vida,Mujer emprendedora,El deporte,,Luchar contra todo obst‡culo ya que lo que se lucha se logra,"Robinson Mora, Fabi‡n Mora, Hern‡n Herrera",Stephany Murillo,
Hombre,36-45,Urbano,San Jacinto,Maestro,TŽcnico,"Inseguridad, Falta de empleo",rojo,,Una mujer con futuro,Ser mujer exitosa,Venir m‡s seguido al municipio,Dios la bendiga en sus proyectos,,Stephany Murillo,
Mujer,36-45,Urbano,San Jacinto,Hogar,Secundaria,Inseguridad,azul,Fortaleza,Una mujer de Žxitos,Ser una mujer de ejemplo a seguir,Estar m‡s seguido en la ciudad salud,La seguridad,,Stephany Murillo,
Mujer,65+,Urbano,Centro,Hogar,Primaria,Falta de empleo,rosado,Alegr’a,Paisana,Berraca,Cumplan adulto mayor,,,Stephany Murillo,
Mujer,36-45,Urbano,San Jacinto,,Primaria,Falta de empleo,rosado,"Fuerza, Valent’a",Sinceridad,La humildad,Seguridad,La seguridad del pueblo,No,Stephany Murillo,
Mujer,,Urbano,Carmelo,Hogar,Primaria,"Falta de empleo, Inseguridad",fucsia,Alegr’a,Los dos,Que no le da pena decir las cosas,Que no se le cumplan sus sue–os,Que le den trabajo a los de Tocaima y los de otro lado,Toca escuchar la opini—n de cada uno de ellos,Blanco,
Hombre,56-65,Urbano,,Empleado,Secundaria,Falta de empleo,blanco,Paz,"Tocaimuna, Honesta",Ser de Tocaima,Ser sensible,Ser m‡s directa y fuerte,,Stephany Murillo,
Hombre,18-25,Urbano,,,Secundaria,Calidad de la educaci—n,azul,Honestidad,Que ella es del pueblo y sabe lo que necesitamos,,,Que invierta en la cultura,,Stephany Murillo,
Hombre,36-45,Urbano,Progreso,,Primaria,Falta de empleo,amarillo,Libertad,Fuerza a luchar y triunfar,Luchadora,Ninguna,,,Stephany Murillo,
Mujer,36-45,Urbano,Progreso,Hogar,Primaria,Falta de empleo,rojo,Vida,Vencedora,Voluntad,Ninguna,,,Stephany Murillo,
,36-45,Urbano,San Jacinto,,Secundaria,Inseguridad,negro,,La personalidad,Como habla,Ninguna,Tener en cuenta las personas con discapacidad,No,Stephany Murillo,
Mujer,36-45,Urbano,San Jacinto,Hogar,Primaria,Falta de empleo,blanco,Paz,Su sencillez,Ser Tocaimuna,Ser muy sensible,Ser m‡s fuerte,,Stephany Murillo,
